stage,claim_id,kind,claim,scope,period,evidence_ids
mandate,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
evidence,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
impact,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
additionality,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
structure,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
valuation,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
valuation,CALC1,CALCULATION,"Recomputed illustrative loss_waterfall; inspect arguments, units and result in calculation C1.",FICTIONAL-SUBJECT,2026-09-25,
measurement,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
market,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
expression,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
challenge,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
memo,A1,ASSUMPTION,Fictional blended structure: first-loss protection redistributes losses; additionality and beneficiary outcomes still need evidence.,FICTIONAL-SUBJECT,2026-09-25,
